"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","DEP_TIME_BLK","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2,27,3,"WN","N269WN","1562",11697,"FLL","Fort Lauderdale, FL",13204,"MCO","Orlando, FL","1020","1032",12.00,0.00,"1000-1059","1125","1132",7.00,"1100-1159",0.00,"",65.00,60.00,177.00,1,,,,,,
2,27,3,"WN","N743SW","2378",11697,"FLL","Fort Lauderdale, FL",13204,"MCO","Orlando, FL","1910","1931",21.00,1.00,"1900-1959","2020","2116",56.00,"2000-2059",0.00,"",70.00,105.00,177.00,1,21.00,0.00,35.00,0.00,0.00,
2,27,3,"WN","N435WN","400",11697,"FLL","Fort Lauderdale, FL",13232,"MDW","Chicago, IL","1955","2044",49.00,1.00,"1900-1959","2205","2304",59.00,"2200-2259",0.00,"",190.00,200.00,1167.00,5,6.00,0.00,10.00,0.00,43.00,
2,27,3,"WN","N204WN","606",11697,"FLL","Fort Lauderdale, FL",13232,"MDW","Chicago, IL","1705","1711",6.00,0.00,"1700-1759","1920","1955",35.00,"1900-1959",0.00,"",195.00,224.00,1167.00,5,6.00,0.00,29.00,0.00,0.00,
2,27,3,"WN","N8718Q","1741",11697,"FLL","Fort Lauderdale, FL",13232,"MDW","Chicago, IL","0640","0638",0.00,0.00,"0600-0659","0855","0850",0.00,"0800-0859",0.00,"",195.00,192.00,1167.00,5,,,,,,
2,27,3,"WN","N7837A","2131",11697,"FLL","Fort Lauderdale, FL",13342,"MKE","Milwaukee, WI","1655","1705",10.00,0.00,"1600-1659","1920","2032",72.00,"1900-1959",0.00,"",205.00,267.00,1243.00,5,10.00,0.00,62.00,0.00,0.00,
2,27,3,"WN","N919WN","1984",11697,"FLL","Fort Lauderdale, FL",13495,"MSY","New Orleans, LA","1725","1730",5.00,0.00,"1700-1759","1840","1932",52.00,"1800-1859",0.00,"",135.00,182.00,674.00,3,0.00,0.00,52.00,0.00,0.00,
2,27,3,"WN","N7840A","2124",11697,"FLL","Fort Lauderdale, FL",13495,"MSY","New Orleans, LA","0655","0650",0.00,0.00,"0600-0659","0800","0755",0.00,"0800-0859",0.00,"",125.00,125.00,674.00,3,,,,,,
2,27,3,"WN","N8314L","373",11697,"FLL","Fort Lauderdale, FL",14100,"PHL","Philadelphia, PA","1930","1950",20.00,1.00,"1900-1959","2215","2309",54.00,"2200-2259",0.00,"",165.00,199.00,992.00,4,20.00,0.00,34.00,0.00,0.00,
2,27,3,"WN","N953WN","1980",11697,"FLL","Fort Lauderdale, FL",14100,"PHL","Philadelphia, PA","0850","0854",4.00,0.00,"0800-0859","1140","1134",0.00,"1100-1159",0.00,"",170.00,160.00,992.00,4,,,,,,
2,27,3,"WN","N8306H","2295",11697,"FLL","Fort Lauderdale, FL",14107,"PHX","Phoenix, AZ","0855","0854",0.00,0.00,"0800-0859","1205","1220",15.00,"1200-1259",0.00,"",310.00,326.00,1972.00,8,0.00,0.00,15.00,0.00,0.00,
2,27,3,"WN","N8654B","1082",11697,"FLL","Fort Lauderdale, FL",14122,"PIT","Pittsburgh, PA","1100","1102",2.00,0.00,"1100-1159","1340","1333",0.00,"1300-1359",0.00,"",160.00,151.00,994.00,4,,,,,,
