"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","DEP_TIME_BLK","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2,1,5,"AA",,"1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0759",0.00,0.00,"0800-0859","1133","1058",0.00,"1100-1159",0.00,"",393.00,359.00,2475.00,10,,,,,,
2,2,6,"AA","N116AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0849",49.00,1.00,"0800-0859","1133","1156",23.00,"1100-1159",0.00,"",393.00,367.00,2475.00,10,23.00,0.00,0.00,0.00,0.00,
2,3,7,"AA","N105NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0756",0.00,0.00,"0800-0859","1133","1108",0.00,"1100-1159",0.00,"",393.00,372.00,2475.00,10,,,,,,
2,4,1,"AA","N108NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0756",0.00,0.00,"0800-0859","1133","1126",0.00,"1100-1159",0.00,"",393.00,390.00,2475.00,10,,,,,,
2,5,2,"AA",,"1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1133","1112",0.00,"1100-1159",0.00,"",393.00,377.00,2475.00,10,,,,,,
2,6,3,"AA","N104NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0754",0.00,0.00,"0800-0859","1133","1117",0.00,"1100-1159",0.00,"",393.00,383.00,2475.00,10,,,,,,
2,7,4,"AA","N106NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1133","1132",0.00,"1100-1159",0.00,"",393.00,397.00,2475.00,10,,,,,,
2,8,5,"AA",,"1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0754",0.00,0.00,"0800-0859","1133","1125",0.00,"1100-1159",0.00,"",393.00,391.00,2475.00,10,,,,,,
2,9,6,"AA","N113AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0759",0.00,0.00,"0800-0859","1133","1206",33.00,"1100-1159",0.00,"",393.00,427.00,2475.00,10,0.00,0.00,33.00,0.00,0.00,
2,10,7,"AA","N111ZM","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1133","1155",22.00,"1100-1159",0.00,"",393.00,420.00,2475.00,10,0.00,0.00,22.00,0.00,0.00,
2,11,1,"AA","N109NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0752",0.00,0.00,"0800-0859","1133","1129",0.00,"1100-1159",0.00,"",393.00,397.00,2475.00,10,,,,,,
2,12,2,"AA","N109NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0754",0.00,0.00,"0800-0859","1133","1123",0.00,"1100-1159",0.00,"",393.00,389.00,2475.00,10,,,,,,
2,13,3,"AA","N116AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0802",2.00,0.00,"0800-0859","1133","1231",58.00,"1100-1159",0.00,"",393.00,449.00,2475.00,10,0.00,0.00,58.00,0.00,0.00,
2,14,4,"AA","N112AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0754",0.00,0.00,"0800-0859","1140","1202",22.00,"1100-1159",0.00,"",400.00,428.00,2475.00,10,0.00,0.00,22.00,0.00,0.00,
2,15,5,"AA","N105NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1140","1147",7.00,"1100-1159",0.00,"",400.00,412.00,2475.00,10,,,,,,
2,16,6,"AA","N117AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0753",0.00,0.00,"0800-0859","1140","1112",0.00,"1100-1159",0.00,"",400.00,379.00,2475.00,10,,,,,,
2,17,7,"AA","N117AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0756",0.00,0.00,"0800-0859","1140","1109",0.00,"1100-1159",0.00,"",400.00,373.00,2475.00,10,,,,,,
2,18,1,"AA","N104NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0756",0.00,0.00,"0800-0859","1140","1134",0.00,"1100-1159",0.00,"",400.00,398.00,2475.00,10,,,,,,
2,19,2,"AA","N105NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0756",0.00,0.00,"0800-0859","1140","1143",3.00,"1100-1159",0.00,"",400.00,407.00,2475.00,10,,,,,,
2,20,3,"AA","N114NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0800",0.00,0.00,"0800-0859","1140","1150",10.00,"1100-1159",0.00,"",400.00,410.00,2475.00,10,,,,,,
2,21,4,"AA","N108NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0759",0.00,0.00,"0800-0859","1140","1217",37.00,"1100-1159",0.00,"",400.00,438.00,2475.00,10,0.00,0.00,37.00,0.00,0.00,
2,22,5,"AA","N105NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0753",0.00,0.00,"0800-0859","1140","1143",3.00,"1100-1159",0.00,"",400.00,410.00,2475.00,10,,,,,,
2,23,6,"AA","N112AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1140","1126",0.00,"1100-1159",0.00,"",400.00,391.00,2475.00,10,,,,,,
2,24,7,"AA","N112AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0802",2.00,0.00,"0800-0859","1140","1148",8.00,"1100-1159",0.00,"",400.00,406.00,2475.00,10,,,,,,
2,,1,"AA","N112AN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0754",0.00,0.00,"0800-0859","1140","1137",0.00,"1100-1159",0.00,"",400.00,403.00,2475.00,10,,,,,,
2,26,2,"AA","N108NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0751",0.00,0.00,"0800-0859","1140","1112",0.00,"1100-1159",0.00,"",400.00,381.00,2475.00,10,,,,,,
2,27,3,"AA","N101NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0755",0.00,0.00,"0800-0859","1140","1121",0.00,"1100-1159",0.00,"",400.00,386.00,2475.00,10,,,,,,
2,28,4,"AA","N103NN","1",12478,"JFK","New York, NY",12892,"LAX","Los Angeles, CA","0800","0757",0.00,0.00,"0800-0859","1140","1124",0.00,"1100-1159",0.00,"",400.00,387.00,2475.00,10,,,,,,
2,1,5,"AA","N115NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0903",3.00,0.00,"0900-0959","1730","1744",14.00,"1700-1759",0.00,"",330.00,341.00,2475.00,10,,,,,,
2,2,6,"AA","N109NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0854",0.00,0.00,"0900-0959","1730","1718",0.00,"1700-1759",0.00,"",330.00,324.00,2475.00,10,,,,,,
2,4,1,"AA","N114NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0952",52.00,1.00,"0900-0959","1730","1802",32.00,"1700-1759",0.00,"",330.00,310.00,2475.00,10,0.00,0.00,32.00,0.00,0.00,
2,5,2,"AA","N106NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0856",0.00,0.00,"0900-0959","1730","1642",0.00,"1700-1759",0.00,"",330.00,286.00,2475.00,10,,,,,,
2,6,3,"AA","N102NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1049",109.00,1.00,"0900-0959","1730","1904",94.00,"1700-1759",0.00,"",330.00,315.00,2475.00,10,94.00,0.00,0.00,0.00,0.00,
2,7,4,"AA","N113AN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0900",0.00,0.00,"0900-0959","1730","1703",0.00,"1700-1759",0.00,"",330.00,303.00,2475.00,10,,,,,,
2,8,5,"AA","N103NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0858",0.00,0.00,"0900-0959","1730","1656",0.00,"1700-1759",0.00,"",330.00,298.00,2475.00,10,,,,,,
2,9,6,"AA","N105NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0857",0.00,0.00,"0900-0959","1730","1632",0.00,"1700-1759",0.00,"",330.00,275.00,2475.00,10,,,,,,
2,11,1,"AA","N117AN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0853",0.00,0.00,"0900-0959","1730","1711",0.00,"1700-1759",0.00,"",330.00,318.00,2475.00,10,,,,,,
2,12,2,"AA","N103NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0904",4.00,0.00,"0900-0959","1730","1726",0.00,"1700-1759",0.00,"",330.00,322.00,2475.00,10,,,,,,
2,13,3,"AA",,"2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1100",120.00,1.00,"0900-0959","1730","1911",101.00,"1700-1759",0.00,"",330.00,311.00,2475.00,10,101.00,0.00,0.00,0.00,0.00,
2,14,4,"AA","N109NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0858",0.00,0.00,"0900-0959","1724","1709",0.00,"1700-1759",0.00,"",324.00,311.00,2475.00,10,,,,,,
2,15,5,"AA","N116AN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1856",596.00,1.00,"0900-0959","1724","0237",553.00,"1700-1759",0.00,"",324.00,281.00,2475.00,10,14.00,0.00,0.00,0.00,539.00,
2,16,6,"AA","N112AN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0856",0.00,0.00,"0900-0959","1724","1650",0.00,"1700-1759",0.00,"",324.00,294.00,2475.00,10,,,,,,
2,18,1,"AA","N102NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0900",0.00,0.00,"0900-0959","1724","1637",0.00,"1700-1759",0.00,"",324.00,277.00,2475.00,10,,,,,,
2,19,2,"AA","N114NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0857",0.00,0.00,"0900-0959","1724","1637",0.00,"1700-1759",0.00,"",324.00,280.00,2475.00,10,,,,,,
2,20,3,"AA","N109NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1100",120.00,1.00,"0900-0959","1724","1858",94.00,"1700-1759",0.00,"",324.00,298.00,2475.00,10,0.00,0.00,94.00,0.00,0.00,
2,21,4,"AA","N101NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0853",0.00,0.00,"0900-0959","1724","1633",0.00,"1700-1759",0.00,"",324.00,280.00,2475.00,10,,,,,,
2,22,5,"AA","N113AN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1057",117.00,1.00,"0900-0959","1724","1857",93.00,"1700-1759",0.00,"",324.00,300.00,2475.00,10,33.00,0.00,0.00,0.00,60.00,
2,23,6,"AA","N108NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0900",0.00,0.00,"0900-0959","1724","1659",0.00,"1700-1759",0.00,"",324.00,299.00,2475.00,10,,,,,,
2,24,7,"AA","N114NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0911",11.00,0.00,"0900-0959","1724","1725",1.00,"1700-1759",0.00,"",324.00,314.00,2475.00,10,,,,,,
2,,1,"AA","N109NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1005",65.00,1.00,"0900-0959","1724","1820",56.00,"1700-1759",0.00,"",324.00,315.00,2475.00,10,56.00,0.00,0.00,0.00,0.00,
2,26,2,"AA","N101NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","1823",563.00,1.00,"0900-0959","1724","0225",541.00,"1700-1759",0.00,"",324.00,302.00,2475.00,10,2.00,0.00,0.00,0.00,539.00,
2,27,3,"AA","N102NN","2",12892,"LAX","Los Angeles, CA",12478,"JFK","New York, NY","0900","0858",0.00,0.00,"0900-0959","1724","1649",0.00,"1700-1759",0.00,"",324.00,291.00,2475.00,10,,,,,,
